" Sub-national electricity sales and numbers of customers, 2016 (1) ",,,, Number of MPANs (thousands) ,,,,, Sales (GWh) ,,,,, Averages (KWh) ,,,,,,,,,,, Average domestic consumption per household (kWh) (2) ,
,,,, Domestic consumers ,,, Non-domestic consumers ,, Domestic consumers ,,, Non-domestic consumers , All , Domestic Economy 7 ,, Standard ,, All domestic ,, Non-domestic ,, All ,,,,
 Region , Local Authority , LA Code , LAU1 , Economy 7 meters , Standard Meters , All domestic , All Non-domestic , Total number of Meters , Economy 7 meters , Standard meters , All domestic , All non-domestic , Total consumption , Mean consumption , Median consumption , Mean consumption , Median consumption , Mean consumption , Median consumption , Mean consumption , Median consumption , Mean consumption , Median consumption ,,,
 NORTH EAST ,County Durham,E06000047,UKC1400, 9 , 233 , 242 , 16 , 258 , 48 , 730 , 778 ," 1,088 "," 1,867 "," 5,483 "," 4,029 "," 3,136 "," 2,707 "," 3,222 "," 2,728 "," 68,230 "," 7,511 "," 7,248 "," 2,784 ",," 3,389 ",
 NORTH EAST ,Darlington,E06000005,UKC1300, 4 , 47 , 50 , 4 , 54 , 17 , 152 , 169 , 234 , 403 ," 4,930 "," 3,642 "," 3,255 "," 2,796 "," 3,372 "," 2,824 "," 63,767 "," 7,656 "," 7,493 "," 2,885 ",," 3,578 ",
 NORTH EAST ,Hartlepool,E06000001,UKC1101, 2 , 41 , 43 , 3 , 46 , 9 , 129 , 137 , 291 , 428 ," 4,345 "," 3,165 "," 3,121 "," 2,724 "," 3,178 "," 2,736 "," 95,987 "," 5,542 "," 9,254 "," 2,777 ",," 3,286 ",
 NORTH EAST ,Middlesbrough,E06000002,UKC1201, 4 , 59 , 62 , 4 , 66 , 15 , 182 , 197 , 273 , 471 ," 4,001 "," 3,009 "," 3,119 "," 2,736 "," 3,172 "," 2,748 "," 64,549 "," 8,643 "," 7,080 "," 2,811 ",," 3,389 ",
 NORTH EAST ,Northumberland,E06000057,UKC2100, 13 , 141 , 154 , 14 , 168 , 77 , 482 , 560 , 868 ," 1,428 "," 5,765 "," 4,228 "," 3,433 "," 2,864 "," 3,637 "," 2,918 "," 63,128 "," 7,186 "," 8,513 "," 3,000 ",," 3,957 ",
 NORTH EAST ,Redcar and Cleveland,E06000003,UKC1202, 4 , 61 , 64 , 4 , 68 , 16 , 189 , 205 , 638 , 843 ," 4,430 "," 3,329 "," 3,120 "," 2,738 "," 3,193 "," 2,757 "," 169,848 "," 7,957 "," 12,420 "," 2,802 ",," 3,390 ",
 NORTH EAST ,Stockton-on-Tees,E06000004,UKC1102, 4 , 82 , 86 , 5 , 91 , 18 , 266 , 285 , 989 ," 1,273 "," 4,494 "," 3,304 "," 3,257 "," 2,848 "," 3,315 "," 2,861 "," 182,209 "," 9,043 "," 13,951 "," 2,922 ",," 3,471 ",
 NORTH EAST ,Gateshead,E08000037,UKC2205, 5 , 88 , 94 , 6 , 100 , 26 , 269 , 294 , 525 , 819 ," 4,809 "," 3,938 "," 3,041 "," 2,656 "," 3,142 "," 2,688 "," 82,838 "," 9,441 "," 8,191 "," 2,756 ",," 3,245 ",
 NORTH EAST ,Newcastle upon Tyne,E08000021,UKC2202, 12 , 116 , 127 , 10 , 137 , 58 , 357 , 416 , 780 ," 1,196 "," 5,049 "," 4,170 "," 3,093 "," 2,618 "," 3,271 "," 2,685 "," 77,728 "," 8,102 "," 8,719 "," 2,755 ",," 3,359 ",
 NORTH EAST ,North Tyneside,E08000022,UKC2203, 6 , 92 , 98 , 6 , 104 , 26 , 278 , 304 , 424 , 728 ," 4,632 "," 3,660 "," 3,010 "," 2,631 "," 3,104 "," 2,658 "," 74,263 "," 7,552 "," 7,022 "," 2,707 ",," 3,221 ",
 NORTH EAST ,South Tyneside,E08000023,UKC2204, 2 , 70 , 72 , 4 , 76 , 9 , 204 , 213 , 196 , 409 ," 4,813 "," 3,994 "," 2,925 "," 2,572 "," 2,975 "," 2,588 "," 49,724 "," 7,209 "," 5,421 "," 2,632 ",," 3,098 ",
 NORTH EAST ,Sunderland,E08000024,UKC2300, 5 , 123 , 128 , 8 , 136 , 24 , 378 , 401 , 806 ," 1,208 "," 4,540 "," 3,508 "," 3,072 "," 2,686 "," 3,132 "," 2,701 "," 99,663 "," 8,109 "," 8,861 "," 2,756 ",," 3,276 ",
 NORTH WEST ,Blackburn with Darwen,E06000008,UKD4100, 4 , 56 , 60 , 5 , 65 , 20 , 190 , 210 , 375 , 585 ," 5,160 "," 3,760 "," 3,382 "," 2,903 "," 3,499 "," 2,936 "," 73,790 "," 9,481 "," 8,974 "," 3,021 ",," 3,659 ",
 NORTH WEST ,Blackpool,E06000009,UKD4200, 7 , 60 , 67 , 7 , 74 , 39 , 204 , 243 , 282 , 525 ," 5,279 "," 4,277 "," 3,423 "," 2,905 "," 3,628 "," 2,984 "," 41,279 "," 7,404 "," 7,115 "," 3,074 ",," 3,806 ",
 NORTH WEST ,Cheshire East,E06000049,UKD6200, 14 , 155 , 169 , 14 , 183 , 92 , 597 , 689 ," 1,024 "," 1,713 "," 6,360 "," 4,901 "," 3,860 "," 3,171 "," 4,074 "," 3,258 "," 72,714 "," 10,390 "," 9,355 "," 3,354 ",," 4,182 ",
 NORTH WEST ,Cheshire West and Chester,E06000050,UKD6300, 9 , 143 , 152 , 12 , 163 , 58 , 516 , 574 ," 1,654 "," 2,228 "," 6,322 "," 5,011 "," 3,616 "," 3,081 "," 3,779 "," 3,142 "," 141,454 "," 10,571 "," 13,625 "," 3,228 ",," 3,973 ",
 NORTH WEST ,Halton,E06000006,UKD7101, 2 , 54 , 56 , 4 , 59 , 8 , 181 , 189 , 497 , 686 ," 5,337 "," 4,221 "," 3,342 "," 2,975 "," 3,399 "," 2,997 "," 139,752 "," 10,426 "," 11,573 "," 3,052 ",," 3,459 ",
 NORTH WEST ,Warrington,E06000007,UKD6100, 4 , 87 , 91 , 6 , 97 , 22 , 301 , 322 , 563 , 885 ," 5,634 "," 4,631 "," 3,455 "," 2,998 "," 3,547 "," 3,040 "," 89,828 "," 10,730 "," 9,113 "," 3,111 ",," 3,593 ",
 NORTH WEST ,Allerdale,E07000026,UKD1101, 5 , 42 , 46 , 6 , 52 , 32 , 143 , 174 , 273 , 447 ," 6,868 "," 5,147 "," 3,438 "," 2,923 "," 3,779 "," 3,027 "," 48,891 "," 8,312 "," 8,646 "," 3,154 ",," 4,055 ",
 NORTH WEST ,Barrow-in-Furness,E07000027,UKD1102, 2 , 31 , 33 , 2 , 35 , 10 , 97 , 107 , 354 , 461 ," 4,965 "," 3,563 "," 3,120 "," 2,725 "," 3,231 "," 2,759 "," 159,868 "," 7,844 "," 13,025 "," 2,814 ",," 3,487 ",
 NORTH WEST ,Carlisle,E07000028,UKD1201, 5 , 46 , 51 , 5 , 56 , 31 , 158 , 189 , 376 , 565 ," 6,633 "," 5,286 "," 3,430 "," 2,876 "," 3,721 "," 2,975 "," 70,916 "," 8,350 "," 10,083 "," 3,075 ",," 3,824 ",
 NORTH WEST ,Copeland,E07000029,UKD1103, 3 , 30 , 33 , 3 , 36 , 24 , 101 , 125 , 97 , 222 ," 7,004 "," 5,436 "," 3,405 "," 2,933 "," 3,770 "," 3,038 "," 34,572 "," 7,768 "," 6,182 "," 3,130 ",," 4,074 ",
 NORTH WEST ,Eden,E07000030,UKD1202, 5 , 20 , 25 , 4 , 30 , 42 , 79 , 122 , 236 , 357 ," 7,860 "," 6,419 "," 3,989 "," 3,223 "," 4,812 "," 3,550 "," 52,417 "," 8,143 "," 12,000 "," 3,768 ",," 5,187 ",
 NORTH WEST ,South Lakeland,E07000031,UKD1203, 9 , 45 , 54 , 8 , 62 , 67 , 164 , 231 , 303 , 535 ," 7,246 "," 5,659 "," 3,671 "," 2,960 "," 4,285 "," 3,177 "," 38,852 "," 7,807 "," 8,649 "," 3,334 ",," 4,910 ",
 NORTH WEST ,Bolton,E08000001,UKD3201, 10 , 114 , 124 , 8 , 132 , 52 , 386 , 438 , 517 , 956 ," 5,276 "," 4,184 "," 3,392 "," 2,931 "," 3,542 "," 2,987 "," 62,321 "," 8,626 "," 7,238 "," 3,053 ",," 3,666 ",
 NORTH WEST ,Bury,E08000002,UKD3202, 6 , 77 , 83 , 5 , 89 , 32 , 268 , 300 , 327 , 627 ," 5,199 "," 4,139 "," 3,474 "," 2,974 "," 3,600 "," 3,023 "," 59,723 "," 9,303 "," 7,065 "," 3,097 ",," 3,725 ",
 NORTH WEST ,Manchester,E08000003,UKD3101, 24 , 198 , 222 , 19 , 241 , 137 , 658 , 795 ," 1,805 "," 2,600 "," 5,693 "," 5,022 "," 3,332 "," 2,785 "," 3,588 "," 2,923 "," 94,437 "," 10,731 "," 10,803 "," 3,027 ",," 3,612 ",
 NORTH WEST ,Oldham ,E08000004,UKD3203, 4 , 91 , 96 , 6 , 102 , 22 , 301 , 323 , 412 , 735 ," 5,180 "," 3,980 "," 3,289 "," 2,874 "," 3,374 "," 2,899 "," 64,771 "," 8,650 "," 7,202 "," 2,960 ",," 3,465 ",
 NORTH WEST ,Rochdale,E08000005,UKD3204, 5 , 88 , 93 , 6 , 99 , 27 , 295 , 322 , 468 , 791 ," 5,292 "," 4,224 "," 3,363 "," 2,923 "," 3,470 "," 2,965 "," 74,171 "," 9,408 "," 7,971 "," 3,035 ",," 3,587 ",
 NORTH WEST ,Salford,E08000006,UKD3102, 12 , 103 , 115 , 8 , 123 , 65 , 351 , 416 , 581 , 997 ," 5,380 "," 4,603 "," 3,405 "," 2,906 "," 3,612 "," 3,003 "," 71,316 "," 9,324 "," 8,088 "," 3,076 ",," 3,742 ",
 NORTH WEST ,Stockport,E08000007,UKD3103, 11 , 117 , 128 , 9 , 137 , 58 , 419 , 477 , 530 ," 1,007 "," 5,337 "," 4,415 "," 3,571 "," 3,093 "," 3,721 "," 3,161 "," 58,705 "," 9,422 "," 7,336 "," 3,234 ",," 3,787 ",
 NORTH WEST ,Tameside,E08000008,UKD3104, 6 , 96 , 101 , 6 , 108 , 29 , 314 , 343 , 411 , 754 ," 5,149 "," 4,051 "," 3,280 "," 2,863 "," 3,382 "," 2,897 "," 64,374 "," 9,280 "," 6,998 "," 2,957 ",," 3,516 ",
 NORTH WEST ,Trafford,E08000009,UKD3105, 8 , 90 , 98 , 8 , 107 , 45 , 334 , 380 , 978 ," 1,357 "," 5,491 "," 4,581 "," 3,714 "," 3,125 "," 3,863 "," 3,196 "," 118,972 "," 10,402 "," 12,743 "," 3,291 ",," 3,819 ",
 NORTH WEST ,Wigan,E08000010,UKD3205, 8 , 135 , 143 , 8 , 151 , 41 , 448 , 489 , 615 ," 1,103 "," 5,016 "," 3,839 "," 3,333 "," 2,932 "," 3,428 "," 2,963 "," 72,669 "," 9,291 "," 7,305 "," 3,021 ",," 3,464 ",
 NORTH WEST ,Burnley,E07000117,UKD4301, 2 , 39 , 41 , 3 , 44 , 11 , 124 , 135 , 193 , 327 ," 5,250 "," 4,194 "," 3,213 "," 2,824 "," 3,316 "," 2,859 "," 58,675 "," 8,414 "," 7,463 "," 2,925 ",," 3,554 ",
 NORTH WEST ,Chorley,E07000118,UKD4302, 3 , 46 , 49 , 3 , 53 , 17 , 166 , 183 , 188 , 371 ," 5,798 "," 4,575 "," 3,589 "," 3,068 "," 3,723 "," 3,118 "," 54,414 "," 9,352 "," 7,050 "," 3,187 ",," 3,796 ",
 NORTH WEST ,Fylde,E07000119,UKD4303, 5 , 33 , 38 , 3 , 41 , 29 , 120 , 149 , 226 , 375 ," 5,996 "," 5,124 "," 3,662 "," 3,036 "," 3,962 "," 3,182 "," 66,119 "," 7,935 "," 9,127 "," 3,273 ",," 4,109 ",
 NORTH WEST ,Hyndburn,E07000120,UKD4304, 2 , 34 , 36 , 3 , 39 , 11 , 109 , 120 , 166 , 287 ," 5,085 "," 3,661 "," 3,182 "," 2,766 "," 3,293 "," 2,798 "," 54,913 "," 8,026 "," 7,257 "," 2,871 ",," 3,482 ",
 NORTH WEST ,Lancaster,E07000121,UKD4305, 6 , 56 , 62 , 6 , 68 , 38 , 189 , 227 , 281 , 508 ," 6,058 "," 4,798 "," 3,364 "," 2,836 "," 3,632 "," 2,934 "," 49,238 "," 7,673 "," 7,455 "," 3,020 ",," 3,778 ",
 NORTH WEST ,Pendle,E07000122,UKD4306, 3 , 37 , 40 , 3 , 43 , 13 , 123 , 136 , 225 , 362 ," 5,301 "," 3,761 "," 3,285 "," 2,763 "," 3,412 "," 2,797 "," 68,355 "," 6,779 "," 8,367 "," 2,864 ",," 3,555 ",
 NORTH WEST ,Preston,E07000123,UKD4307, 5 , 55 , 60 , 6 , 66 , 28 , 188 , 216 , 367 , 584 ," 5,283 "," 4,218 "," 3,420 "," 2,893 "," 3,583 "," 2,955 "," 64,400 "," 8,845 "," 8,835 "," 3,053 ",," 3,699 ",
 NORTH WEST ,Ribble Valley,E07000124,UKD4308, 2 , 23 , 26 , 3 , 29 , 16 , 94 , 110 , 318 , 428 ," 7,518 "," 5,674 "," 3,999 "," 3,190 "," 4,296 "," 3,291 "," 109,857 "," 8,707 "," 14,997 "," 3,421 ",," 4,385 ",
 NORTH WEST ,Rossendale,E07000125,UKD4309, 2 , 30 , 32 , 3 , 34 , 11 , 106 , 116 , 186 , 302 ," 5,684 "," 4,469 "," 3,541 "," 3,023 "," 3,669 "," 3,065 "," 71,565 "," 7,851 "," 8,807 "," 3,140 ",," 3,858 ",
 NORTH WEST ,South Ribble,E07000126,UKD4310, 3 , 46 , 49 , 3 , 52 , 16 , 162 , 178 , 283 , 460 ," 5,946 "," 4,754 "," 3,520 "," 3,063 "," 3,653 "," 3,112 "," 80,901 "," 9,748 "," 8,826 "," 3,190 ",," 3,774 ",
 NORTH WEST ,West Lancashire,E07000127,UKD4311, 4 , 44 , 48 , 4 , 52 , 21 , 170 , 192 , 322 , 513 ," 5,731 "," 4,275 "," 3,838 "," 3,266 "," 3,983 "," 3,305 "," 81,730 "," 9,763 "," 9,865 "," 3,390 ",," 4,125 ",
 NORTH WEST ,Wyre,E07000128,UKD4312, 5 , 45 , 50 , 4 , 55 , 28 , 163 , 191 , 285 , 476 ," 5,941 "," 4,779 "," 3,581 "," 3,028 "," 3,805 "," 3,107 "," 65,294 "," 7,501 "," 8,725 "," 3,192 ",," 3,923 ",
 NORTH WEST ,Knowsley ,E08000011,UKD7102, 2 , 64 , 66 , 3 , 69 , 8 , 214 , 222 , 501 , 723 ," 4,926 "," 3,750 "," 3,336 "," 2,984 "," 3,375 "," 2,994 "," 167,579 "," 10,593 "," 10,523 "," 3,037 ",," 3,523 ",
 NORTH WEST ,Liverpool,E08000012,UKD7200, 12 , 204 , 216 , 15 , 231 , 65 , 641 , 707 ," 1,184 "," 1,891 "," 5,591 "," 4,743 "," 3,139 "," 2,698 "," 3,272 "," 2,753 "," 79,661 "," 8,653 "," 8,191 "," 2,819 ",," 3,265 ",
 NORTH WEST ,Sefton,E08000014,UKD7300, 6 , 120 , 127 , 8 , 135 , 32 , 409 , 441 , 419 , 860 ," 5,129 "," 4,320 "," 3,396 "," 2,943 "," 3,481 "," 2,980 "," 52,324 "," 7,998 "," 6,389 "," 3,039 ",," 3,655 ",
 NORTH WEST ,St. Helens,E08000013,UKD7103, 2 , 79 , 81 , 5 , 86 , 12 , 258 , 270 , 448 , 718 ," 4,938 "," 3,906 "," 3,275 "," 2,886 "," 3,325 "," 2,900 "," 96,643 "," 9,639 "," 8,359 "," 2,951 ",," 3,455 ",
 NORTH WEST ,Wirral,E08000015,UKD7400, 7 , 141 , 148 , 9 , 157 , 35 , 478 , 513 , 535 ," 1,048 "," 5,029 "," 4,075 "," 3,386 "," 2,947 "," 3,463 "," 2,976 "," 59,916 "," 8,085 "," 6,670 "," 3,033 ",," 3,565 ",
 YORKSHIRE AND THE HUMBER ,East Riding of Yorkshire,E06000011,UKE1200, 13 , 141 , 154 , 13 , 167 , 75 , 506 , 581 , 976 ," 1,558 "," 5,868 "," 4,468 "," 3,584 "," 2,968 "," 3,775 "," 3,035 "," 72,623 "," 7,778 "," 9,305 "," 3,115 ",," 3,954 ",
 YORKSHIRE AND THE HUMBER ,"Kingston upon Hull, City of",E06000010,UKE1100, 9 , 111 , 120 , 8 , 128 , 39 , 339 , 379 , 677 ," 1,055 "," 4,367 "," 3,296 "," 3,053 "," 2,640 "," 3,151 "," 2,667 "," 81,982 "," 10,790 "," 8,219 "," 2,744 ",," 3,297 ",
 YORKSHIRE AND THE HUMBER ,North East Lincolnshire,E06000012,UKE1301, 4 , 69 , 73 , 5 , 78 , 19 , 228 , 248 , 562 , 810 ," 5,051 "," 3,747 "," 3,320 "," 2,859 "," 3,412 "," 2,888 "," 113,867 "," 8,513 "," 10,444 "," 2,946 ",," 3,496 ",
 YORKSHIRE AND THE HUMBER ,North Lincolnshire,E06000013,UKE1302, 4 , 71 , 74 , 6 , 80 , 21 , 242 , 262 , 880 ," 1,142 "," 5,689 "," 4,432 "," 3,416 "," 2,902 "," 3,526 "," 2,936 "," 145,192 "," 7,986 "," 14,199 "," 3,005 ",," 3,598 ",
 YORKSHIRE AND THE HUMBER ,York,E06000014,UKE2100, 10 , 80 , 89 , 7 , 97 , 47 , 271 , 317 , 415 , 732 ," 4,882 "," 3,789 "," 3,387 "," 2,842 "," 3,547 "," 2,900 "," 56,021 "," 9,632 "," 7,559 "," 2,988 ",," 3,602 ",
